2026-07-12 09:14:18 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_091418_363.zip
2026-07-12 09:14:18 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_091418_381.zip
2026-07-12 09:14:18 | INFO     | uzerp.BackupService | Backup tiklandi: uzerp_backup_20260712_091418_363.zip
2026-07-12 09:14:18 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #3 (pos), summa=18000.00
2026-07-12 10:22:38 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 10:22:38 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 10:22:38 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 10:22:38 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 10:22:38 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 10:22:38 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 10:22:38 | INFO     | uzerp.app | UzERP to'xtadi.
2026-07-12 10:22:40 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 10:22:40 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 10:22:40 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 10:22:40 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 10:22:40 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 10:22:40 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 10:22:40 | INFO     | uzerp.app | UzERP to'xtadi.
2026-07-12 10:23:53 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 10:23:53 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 10:23:53 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 10:23:53 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 10:23:53 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 10:23:53 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 10:23:53 | INFO     | uzerp.app | UzERP to'xtadi.
2026-07-12 10:23:54 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 10:23:54 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 10:23:54 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 10:23:54 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 10:23:54 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 10:23:55 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 10:23:55 | INFO     | uzerp.app | UzERP to'xtadi.
2026-07-12 10:25:37 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 10:25:37 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 10:25:37 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 10:25:37 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 10:25:37 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 10:25:37 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 10:25:37 | INFO     | uzerp.app | UzERP to'xtadi.
2026-07-12 11:23:56 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:23:56 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:23:56 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:23:56 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:23:56 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:24:34 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:24:34 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:24:34 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:24:34 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:24:34 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:24:34 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 11:24:34 | INFO     | uzerp.web | Web-server: http://127.0.0.1:8000
2026-07-12 11:36:29 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:36:29 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:36:29 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:36:29 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:36:29 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:36:29 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #4 (pos), summa=19800.00
2026-07-12 11:39:58 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:39:58 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:39:58 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:39:58 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:39:58 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:41:57 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:41:57 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:41:57 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:41:57 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:41:57 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:43:11 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:43:11 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:43:11 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:43:11 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 11:43:11 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 11:43:11 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v3 seed_defaults_v2
2026-07-12 11:43:11 | INFO     | uzerp.migrations | 3 ta migratsiya qo'llandi.
2026-07-12 11:43:12 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 11:43:12 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:43:12 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:43:12 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #1 (invoice), summa=720000.00
2026-07-12 11:43:12 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #2 (pos), summa=90000.00
2026-07-12 11:43:12 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:43:12 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:43:12 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:43:12 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:43:12 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:43:13 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_114313_292.zip
2026-07-12 11:43:13 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_114313_309.zip
2026-07-12 11:43:13 | INFO     | uzerp.BackupService | Backup tiklandi: uzerp_backup_20260712_114313_292.zip
2026-07-12 11:43:13 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #3 (pos), summa=18000.00
2026-07-12 11:43:13 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:43:13 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:43:13 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:43:13 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:43:13 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:43:14 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #4 (pos), summa=19800.00
2026-07-12 11:43:28 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:43:28 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:43:28 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:43:28 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:43:28 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:43:28 | INFO     | uzerp.BackupService | Auto-backup yoqildi (har 24 soatda).
2026-07-12 11:43:28 | INFO     | uzerp.web | Web-server: http://127.0.0.1:8000
2026-07-12 11:55:23 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:55:23 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:55:23 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:55:23 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:55:23 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:55:24 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #5 (pos), summa=50000.00
2026-07-12 11:56:04 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:56:04 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:56:04 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:56:04 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:56:04 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:56:27 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:56:27 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:56:27 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:56:27 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 11:56:27 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 11:56:27 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v3 seed_defaults_v2
2026-07-12 11:56:27 | INFO     | uzerp.migrations | 3 ta migratsiya qo'llandi.
2026-07-12 11:56:28 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 11:56:28 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:56:28 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:56:28 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #1 (invoice), summa=720000.00
2026-07-12 11:56:28 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #2 (pos), summa=90000.00
2026-07-12 11:56:28 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 11:56:28 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 11:56:28 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 11:56:28 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 11:56:28 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 11:56:29 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_115629_340.zip
2026-07-12 11:56:29 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_115629_367.zip
2026-07-12 11:56:29 | INFO     | uzerp.BackupService | Backup tiklandi: uzerp_backup_20260712_115629_340.zip
